date;heure;PM10;NO2
;;microg/m3;microg/m3
11/09/2016;1;28;52
11/09/2016;2;27;39
11/09/2016;3;24;31
11/09/2016;4;13;25
11/09/2016;5;17;24
11/09/2016;6;8;22
11/09/2016;7;17;30
11/09/2016;8;17;37
11/09/2016;9;22;35
11/09/2016;10;26;35
11/09/2016;11;n/d;34
11/09/2016;12;n/d;37
11/09/2016;13;n/d;34
11/09/2016;14;n/d;37
11/09/2016;15;n/d;38
11/09/2016;16;n/d;41
11/09/2016;17;n/d;45
11/09/2016;18;n/d;60
11/09/2016;19;n/d;65
11/09/2016;20;n/d;70
11/09/2016;21;n/d;73
11/09/2016;22;n/d;68
11/09/2016;23;n/d;62
11/09/2016;24;n/d;59
12/09/2016;1;24;48
12/09/2016;2;13;34
12/09/2016;3;13;33
12/09/2016;4;24;41
12/09/2016;5;23;47
12/09/2016;6;43;53
12/09/2016;7;56;81
12/09/2016;8;52;77
12/09/2016;9;n/d;87
12/09/2016;10;n/d;81
12/09/2016;11;n/d;72
12/09/2016;12;n/d;68
12/09/2016;13;66;65
12/09/2016;14;67;85
12/09/2016;15;73;77
12/09/2016;16;53;112
12/09/2016;17;50;98
12/09/2016;18;53;111
12/09/2016;19;n/d;160
12/09/2016;20;n/d;134
12/09/2016;21;n/d;151
12/09/2016;22;n/d;155
12/09/2016;23;n/d;140
12/09/2016;24;52;110
13/09/2016;1;39;96
13/09/2016;2;31;85
13/09/2016;3;20;71
13/09/2016;4;26;64
13/09/2016;5;41;85
13/09/2016;6;n/d;101
13/09/2016;7;n/d;123
13/09/2016;8;n/d;120
13/09/2016;9;n/d;93
13/09/2016;10;n/d;88
13/09/2016;11;n/d;79
13/09/2016;12;n/d;72
13/09/2016;13;n/d;83
13/09/2016;14;n/d;82
13/09/2016;15;n/d;94
13/09/2016;16;n/d;110
13/09/2016;17;n/d;92
13/09/2016;18;n/d;77
13/09/2016;19;n/d;71
13/09/2016;20;n/d;63
13/09/2016;21;n/d;81
13/09/2016;22;n/d;77
13/09/2016;23;56;63
13/09/2016;24;42;41
14/09/2016;1;44;37
14/09/2016;2;39;22
14/09/2016;3;40;21
14/09/2016;4;36;18
14/09/2016;5;21;35
14/09/2016;6;33;62
14/09/2016;7;36;80
14/09/2016;8;37;65
14/09/2016;9;26;58
14/09/2016;10;24;70
14/09/2016;11;29;57
14/09/2016;12;n/d;75
14/09/2016;13;n/d;69
14/09/2016;14;n/d;82
14/09/2016;15;n/d;71
14/09/2016;16;n/d;72
14/09/2016;17;n/d;83
14/09/2016;18;n/d;58
14/09/2016;19;n/d;118
14/09/2016;20;42;138
14/09/2016;21;61;127
14/09/2016;22;32;53
14/09/2016;23;9;29
14/09/2016;24;7;24
15/09/2016;1;4;22
15/09/2016;2;8;24
15/09/2016;3;25;26
15/09/2016;4;n/d;14
15/09/2016;5;n/d;48
15/09/2016;6;18;92
15/09/2016;7;29;91
15/09/2016;8;23;70
15/09/2016;9;17;72
15/09/2016;10;13;71
15/09/2016;11;29;68
15/09/2016;12;23;64
15/09/2016;13;17;58
15/09/2016;14;15;51
15/09/2016;15;18;47
15/09/2016;16;27;60
15/09/2016;17;21;52
15/09/2016;18;25;69
15/09/2016;19;28;66
15/09/2016;20;23;63
15/09/2016;21;19;57
15/09/2016;22;18;52
15/09/2016;23;18;42
15/09/2016;24;16;36
16/09/2016;1;13;30
16/09/2016;2;12;23
16/09/2016;3;10;19
16/09/2016;4;n/d;27
16/09/2016;5;21;38
16/09/2016;6;39;64
16/09/2016;7;37;66
16/09/2016;8;39;61
16/09/2016;9;26;67
